序號,縣市,業者,品項,批號,有效日期
355,臺東縣,信輝商行,健味香油 3L,BL240426L,2028.04.19
356,金門縣,豐益商行,益康烹調油(調合油),20270413000403,2027.04.13
357,金門縣,興慶豐商行,泰山精選蔬菜油-3L*6,2027072506,2027.07.25
357,金門縣,興慶豐商行,泰山好理調合油-2L*6,2027072506,2027.07.25
357,金門縣,興慶豐商行,泰山花生風味調和油2L*6入,2027100901,2027.10.09
357,金門縣,興慶豐商行,泰山好理調合油0.6L*24,2027072504,2027.07.25
358,澎湖縣,上品行,泰山精選蔬菜油-3L*6,2027072506,2027.07.25
358,澎湖縣,上品行,泰山花生風味調和油2L*6入,2027100901,2027.10.09
359,澎湖縣,澎湖縣農會農民購物中心,泰山歐式果實精華調合油1.5L*6入,2027101301,2027.10.13
360*,澎湖縣,和香行,沙拉油 18L(福壽),C22104260,2027.04.20
121,新北市,美食家食材通路股份有限公司,健味香油 3L,BL240426L,2028.04.19
121,新北市,美食家食材通路股份有限公司,沙拉油 18L(福壽),C2140426P,2027.04.13
121,新北市,美食家食材通路股份有限公司,沙拉油 18L(福壽),C21504260,2027.04.14
121,臺中市,美食家食材通路股份有限公司,健味香油 3L,BL240426L,2028.04.19
121,臺中市,美食家食材通路股份有限公司,益康大豆沙拉油 18L,20270410000407,2027.04.10
121,臺中市,美食家食材通路股份有限公司,沙拉油 18L(福壽),C2150426P,2027.04.14
121,臺南市,美食家食材通路股份有限公司,沙拉油 18L(福壽),C22104260,2027.04.20
121,高雄市,美食家食材通路股份有限公司,沙拉油 18L(福壽),C21404260,2027.04.13
121,高雄市,美食家食材通路股份有限公司,健味香油 3L,BL150426L,2028.04.05
121,桃園市*,美食家食材通路股份有限公司,沙拉油 18L(福壽),C21504260,2027.04.15
